temperature_moyenne,nb_lost_item
-1.1714285714285715,6
-1.1625,9
-1.15,1
-1.1375000000000002,1
-1.1375,2
-1.1285714285714286,3
-1.1285714285714283,1
-1.125,38
-1.1125,1
-1.1124999999999998,2
-1.1000000000000003,1
-1.0999999999999999,1
-1.0857142857142859,5
-1.075,12
-1.0625,24
-1.05,1
-1.0499999999999998,5
-1.042857142857143,7
-1.0375,1
-1.025,10
-1.0125,4
-1.0124999999999997,3
-1.0,18
-0.9875,1
-0.9874999999999999,9
-0.975,8
-0.9714285714285714,7
-0.9625000000000001,3
-0.9624999999999999,10
-0.95,12
-0.9375000000000001,3
-0.9375,3
-0.9285714285714287,7
-0.9249999999999999,3
-0.9142857142857143,21
-0.914285714285714,3
-0.9125000000000001,5
-0.9125,8
-0.9124999999999999,21
-0.9,26
-0.8999999999999999,20
-0.8875000000000001,1
-0.8875,19
-0.8833333333333332,4
-0.8750000000000001,22
-0.875,9
-0.8625,1
-0.8624999999999998,3
-0.8499999999999999,2
-0.8375,8
-0.8374999999999999,19
-0.8250000000000001,7
-0.825,21
-0.8125,7
-0.8,48
-0.7875000000000001,8
-0.7875,13
-0.7874999999999999,4
-0.775,9
-0.7749999999999999,4
-0.7625000000000001,34
-0.7500000000000001,2
-0.75,1
-0.7375,36
-0.7374999999999999,5
-0.7250000000000001,3
-0.725,1
-0.7125,5
-0.7124999999999999,10
-0.7000000000000001,6
-0.6875000000000001,1
-0.6857142857142858,10
-0.6857142857142857,2
-0.675,43
-0.6749999999999999,5
-0.6625000000000001,21
-0.6625,3
-0.6571428571428571,6
-0.65,23
-0.6499999999999999,17
-0.6375000000000001,1
-0.6375,17
-0.6374999999999998,6
-0.6285714285714287,1
-0.6249999999999999,19
-0.6125,15
-0.6000000000000002,4
-0.6,26
-0.5875000000000001,2
-0.5857142857142856,1
-0.5750000000000001,1
-0.575,11
-0.5625000000000001,15
-0.5625,26
-0.5624999999999999,3
-0.5624999999999998,1
-0.55,32
-0.5428571428571429,1
-0.5375000000000001,11
-0.525,15
-0.5125000000000001,1
-0.5,1
-0.49999999999999994,1
-0.4999999999999999,2
-0.48750000000000004,1
-0.48749999999999993,8
-0.48571428571428577,1
-0.47500000000000003,34
-0.475,13
-0.47142857142857153,11
-0.4625,17
